account_id,avg_weekly_logins,feature_adoption_pct,support_tickets,avg_ticket_sentiment,contract_age_days,renewal_window_days,logins_trend,days_since_last_login,adoption_trend,contract_stage,company_size,industry,region,payment_status,primary_churn_reason,renewed
ACC-00001,66,0.7339,4,0.0598,890,14,-7.4,17,-0.0249,Legacy,SMB,Healthcare,LATAM,Late (15-29d),Payment Problems,1
ACC-00002,10,0.9664,3,-0.0195,1074,30,-0.3,58,0.005,Legacy,Mid-Market,Healthcare,Europe,Late (5-14d),Inactive User,1
ACC-00003,77,0.6605,2,-0.9873,151,21,-6.89,20,0.1,Mature,Enterprise,Finance,LATAM,Failed,Support Issues,0
ACC-00004,58,0.255,2,-0.035,496,49,6.03,45,-0.0799,Legacy,Enterprise,Retail,North America,Late (15-29d),Inactive User,0
ACC-00005,73,0.7079,1,0.0396,360,37,-5.52,11,0.0603,Mature,Mid-Market,Manufacturing,Europe,On-Time,Other,0
ACC-00006,14,0.594,4,0.2114,117,79,-0.06,37,-0.0013,Mature,SMB,Manufacturing,APAC,Late (15-29d),Inactive User,1
ACC-00007,15,0.2233,8,0.9402,901,51,-9.73,13,0.0354,Legacy,Mid-Market,Manufacturing,APAC,On-Time,Other,0
ACC-00008,33,0.8371,5,0.9654,160,72,-9.48,48,-0.0174,Mature,Enterprise,Finance,North America,Late (5-14d),Inactive User,0
ACC-00009,17,0.4303,3,0.0539,799,14,-1.05,31,0.0818,Legacy,SMB,Technology,Europe,Late (15-29d),Inactive User,0
ACC-00010,24,0.9435,4,0.6904,373,77,15.99,38,-0.0406,Legacy,Enterprise,Technology,Europe,Failed,Inactive User,1
ACC-00011,30,0.714,3,-0.8297,835,63,-2.81,34,0.0019,Legacy,Mid-Market,Manufacturing,North America,On-Time,Inactive User,0
ACC-00012,62,0.6388,3,0.0623,415,86,3.45,16,0.0468,Legacy,SMB,Retail,APAC,Late (5-14d),Payment Problems,1
ACC-00013,13,0.7192,5,0.3578,985,36,-2.47,54,-0.041,Legacy,Mid-Market,Retail,Europe,Failed,Inactive User,0
ACC-00014,62,0.479,4,0.1295,306,80,5.08,54,0.0064,Mature,Mid-Market,Healthcare,Europe,Late (5-14d),Inactive User,0
ACC-00015,47,0.505,3,-0.5386,489,24,-0.46,9,-0.0513,Legacy,Mid-Market,Retail,Europe,Late (15-29d),Support Issues,0
ACC-00016,16,0.8372,1,-0.8747,51,75,-6.23,34,-0.0201,Growth,Enterprise,Manufacturing,LATAM,Late (5-14d),Inactive User,0
ACC-00017,66,0.6737,3,-0.2267,282,45,-1.25,15,0.1,Mature,SMB,Healthcare,LATAM,Late (5-14d),Payment Problems,1
ACC-00018,43,0.8814,6,0.2953,777,66,-8.91,5,0.0671,Legacy,SMB,Manufacturing,APAC,On-Time,Other,1
ACC-00019,8,0.8752,2,0.9834,886,49,-4.44,3,0.0333,Legacy,Enterprise,Technology,Europe,On-Time,Other,0
ACC-00020,3,0.9574,1,-0.5269,504,51,1.91,51,0.0185,Legacy,SMB,Manufacturing,APAC,Failed,Low Engagement,1
